date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall
2020-03-01,USA,AK,,02,,,iso1:us#iso2:us-ak,,,,4,,,,,,,,,,,,,0.0,,,,,,,0
2020-03-02,USA,AK,,02,,,iso1:us#iso2:us-ak,,,,4,,,,,,,,,,,,,0.0,,,,,,,0
2020-03-03,USA,AK,,02,,,iso1:us#iso2:us-ak,,,,6,,,,,,,,,,,,,0.0,,,,,,,0
2020-03-04,USA,AK,,02,,,iso1:us#iso2:us-ak,,,,18,,,,,,,,,,,,,0.0,,,,,,,0
2020-03-05,USA,AK,,02,,,iso1:us#iso2:us-ak,,,,27,,,,,,,,,,,,,0.0,,,,,,,0
2020-03-06,USA,AK,,02,,,iso1:us#iso2:us-ak,,,,40,,,,,,,,,,,,,0.0,,,,,,,0
2020-03-07,USA,AK,,02,,,iso1:us#iso2:us-ak,,,,50,,,,,,,,,,,,,0.0,,,,,,,0
2020-03-08,USA,AK,,02,,,iso1:us#iso2:us-ak,,,,58,,,,,,,,,,,,,0.0,,,,,,,0
2020-03-09,USA,AK,,02,,,iso1:us#iso2:us-ak,,,,77,,,,,,,,,,,,,0.0,,,,,,,0
2020-03-10,USA,AK,,02,,,iso1:us#iso2:us-ak,,,,90,,,,,,,,,,,,,0.0,,,,,,,0
2020-03-11,USA,AK,,02,,,iso1:us#iso2:us-ak,,,2,139,,,,,,,,,,,,,0.0,,,,,,,0
2020-03-12,USA,AK,,02,,,iso1:us#iso2:us-ak,1,0,2,216,,,,,,,,,,1,0.0,,0.01952814151653594,,,,,,,0
2020-03-13,USA,AK,,02,,,iso1:us#iso2:us-ak,1,0,3,352,,,,,,,,,,0,0.011093502377179081,,0.01952814151653594,,1.73740310938,1.0861681638299998,,,,0
2020-03-14,USA,AK,,02,,,iso1:us#iso2:us-ak,1,0,3,420,,,,,,,,,,0,0.012455516014234875,,0.01952814151653594,,1.7279183199700001,0.9330216140099998,,,,0
2020-03-15,USA,AK,,02,,,iso1:us#iso2:us-ak,1,0,3,530,,,,,,,,,,0,0.014613778705636743,,0.01952814151653594,,1.71544818002,0.8384718875699999,,,,0
2020-03-16,USA,AK,,02,,,iso1:us#iso2:us-ak,3,0,8,737,,,,,,,,,,2,0.012567324955116695,,0.05858442454960782,,1.69932672391,0.80848473493,,,,0
2020-03-17,USA,AK,,02,,,iso1:us#iso2:us-ak,6,0,14,1053,,,,,,,,,,3,0.014329580348004092,,0.11716884909921564,,1.67959926108,0.7622180386899999,,,,0
2020-03-18,USA,AK,,02,,,iso1:us#iso2:us-ak,9,0,25,1528,,,,,,,,,,3,0.016288951841359773,,0.17575327364882348,,1.6559384335,0.7286338124299998,,,,0
2020-03-19,USA,AK,,02,,,iso1:us#iso2:us-ak,12,0,29,1965,,,,,,,,,,3,0.015202702702702702,,0.21480955668189536,,1.6281130980200003,0.6962517760599998,,,,0
2020-03-20,USA,AK,,02,,,iso1:us#iso2:us-ak,14,0,42,2343,,,,,,,,,,2,0.01921182266009852,,0.25386583971496723,,1.59601917372,0.6593284724400001,,,,0
2020-03-21,USA,AK,,02,,,iso1:us#iso2:us-ak,21,0,50,2517,,,,,,,,,,7,0.021465235650956604,,0.3905628303307188,,1.55990506593,0.6177921931399999,,,,0
2020-03-22,USA,AK,,02,,,iso1:us#iso2:us-ak,22,0,56,2667,,,,,,,,,,1,0.022862368541380886,,0.4100909718472548,,1.5202431568299999,0.5888270812400003,,,,0
2020-03-23,USA,AK,,02,,,iso1:us#iso2:us-ak,36,0,76,3121,,,,,,,,,,14,0.027732463295269166,,0.644428670045686,,1.4771802442299997,0.5666172571800001,,,,0
2020-03-24,USA,AK,,02,,,iso1:us#iso2:us-ak,42,0,87,3560,,,,,,,,,,6,0.02829457364341085,,0.7030130945952939,,1.4316863818099999,0.5335621825000001,,,,0
2020-03-25,USA,AK,,02,,,iso1:us#iso2:us-ak,59,0,104,4226,,,,,,,,,,17,0.02844796543032049,,0.9764070758267971,,1.38441393852,0.5125675452799998,,,,0
2020-03-26,USA,AK,,02,,,iso1:us#iso2:us-ak,69,0,116,4605,,,,,,,,,,10,0.0319031903190319,,1.1131040664425487,,1.3351521766,0.4979206775799998,,,,3
2020-03-27,USA,AK,,02,,,iso1:us#iso2:us-ak,85,1,128,5004,,,,,,,,,,16,0.031306880232981435,,1.3864980476740518,,1.2841404973700001,0.47800546478999983,,,,3
2020-03-28,USA,AK,,02,,,iso1:us#iso2:us-ak,102,1,139,5497,,,,,,,,,,17,0.02899967416096448,,1.5817794628394113,,1.23438582972,0.4635008867099999,,,,3
2020-03-29,USA,AK,,02,,,iso1:us#iso2:us-ak,114,2,146,5917,,,,,,,,,,12,0.026946107784431142,,1.7965890195213066,,1.18596820451,0.4601573431099999,,,,3
2020-03-30,USA,AK,,02,,,iso1:us#iso2:us-ak,120,2,161,6449,,,,,,,,,,6,0.024904775857017284,,1.6403638873890192,,1.1405236707,0.45018203926,,,,3
